"Subject" "Condition" "Block" "TB" "TrialNum" "Trial" "Lat"
504 "S2" "T" "1" "14" "2" "120" 356.538
505 "S2" "T" "1" "49" "2" "121" 379.615
506 "S2" "T" "1" "1" "5" "122" 364.231
507 "S2" "T" "1" "58" "4" "123" 387.308
508 "S2" "T" "1" "1" "6" "124" 348.846
509 "S2" "T" "1" "63" "2" "125" 333.462
510 "S2" "T" "1" "17" "2" "126" 348.846
511 "S2" "T" "1" "10" "2" "127" 371.923
512 "S2" "T" "1" "5" "6" "128" 433.462
513 "S2" "NT" "2" "48" "1" "1" 571.923
514 "S2" "NT" "2" "6" "1" "2" 395.000
515 "S2" "NT" "2" "61" "1" "3" 387.308
516 "S2" "NT" "2" "56" "1" "4" 379.615
517 "S2" "NT" "2" "52" "1" "5" 395.000
518 "S2" "NT" "2" "55" "1" "6" NaN
519 "S2" "NT" "2" "1" "1" "7" 425.769
520 "S2" "NT" "2" "53" "1" "8" NaN
521 "S2" "NT" "2" "59" "1" "9" 356.538
522 "S2" "NT" "2" "14" "1" "10" 387.308
523 "S2" "NT" "2" "4" "1" "11" 364.231
524 "S2" "NT" "2" "16" "1" "12" 325.769
525 "S2" "NT" "2" "49" "1" "13" NaN
526 "S2" "NT" "2" "62" "1" "14" 448.846
527 "S2" "NT" "2" "63" "1" "15" 371.923
