"Subject" "Group" "Condition" "TB" "TrialNum" "Trial" "Lat"
"282" "2" "1" "1" "2" "2" "26" 379.615
"283" "2" "1" "1" "63" "1" "27" 387.308
"284" "2" "1" "1" "2" "3" "28" 464.231
"285" "2" "1" "1" "4" "1" "29" 410.385
"286" "2" "1" "1" "5" "1" "30" 464.231
"287" "2" "1" "1" "9" "1" "31" 425.769
"288" "2" "1" "1" "58" "1" "32" 371.923
"289" "2" "1" "1" "49" "1" "33" 395.000
"290" "2" "1" "1" "6" "1" "34" 387.308
"291" "2" "1" "1" "62" "2" "35" 295.000
"292" "2" "1" "1" "60" "2" "36" 525.769
"293" "2" "1" "1" "3" "2" "37" 318.077
"294" "2" "1" "1" "1" "1" "38" 402.692
"295" "2" "1" "1" "6" "2" "39" 356.538
"296" "2" "1" "1" "9" "2" "40" 371.923
"297" "2" "1" "1" "58" "2" "41" 356.538
"298" "2" "1" "1" "10" "1" "42" NA
"299" "2" "1" "1" "1" "2" "43" 310.385
"300" "2" "1" "1" "5" "2" "44" 356.538
"301" "2" "1" "1" "7" "3" "45" 379.615
"302" "2" "1" "1" "1" "3" "46" 318.077
"303" "2" "1" "1" "5" "3" "47" 295.000
"304" "2" "1" "1" "6" "3" "48" 441.154
"305" "2" "1" "1" "4" "2" "49" 341.154
"306" "2" "1" "1" "4" "3" "50" 410.385
"307" "2" "1" "1" "20" "1" "51" 464.231
"308" "2" "1" "1" "13" "2" "52" 333.462
"309" "2" "1" "1" "55" "1" "53" 471.923
"310" "2" "1" "1" "14" "1" "54" 395.000
"311" "2" "1" "1" "19" "1" "55" NA
"312" "2" "1" "1" "0" "2" "56" 479.615
"313" "2" "1" "1" "0" "3" "57" NA
"314" "2" "1" "1" "56" "2" "58" 433.462
"315" "2" "1" "1" "3" "3" "59" 318.077
"316" "2" "1" "1" "48" "1" "60" 395.000
"317" "2" "1" "1" "21" "1" "61" 441.154
"318" "2" "1" "1" "16" "1" "62" 348.846
"319" "2" "1" "1" "54" "1" "63" 433.462
"320" "2" "1" "1" "15" "2" "64" 487.308
"321" "2" "1" "1" "9" "3" "65" 348.846
"322" "2" "1" "1" "7" "4" "66" 410.385
"323" "2" "1" "1" "2" "4" "67" 425.769
"324" "2" "1" "1" "5" "4" "68" 425.769
"325" "2" "1" "1" "59" "2" "69" 533.462
"326" "2" "1" "1" "6" "4" "70" 410.385
"327" "2" "1" "1" "6" "5" "71" 425.769
"328" "2" "1" "1" "8" "2" "72" 318.077
"329" "2" "1" "1" "53" "2" "73" NA
"330" "2" "1" "1" "21" "2" "74" 433.462
"331" "2" "1" "1" "48" "2" "75" 395.000
"332" "2" "1" "1" "3" "4" "76" 441.154
"333" "2" "1" "1" "4" "4" "77" 379.615
"334" "2" "1" "1" "19" "2" "78" NA
"335" "2" "1" "1" "13" "3" "79" 395.000
"336" "2" "1" "1" "56" "3" "80" 441.154
"337" "2" "1" "1" "52" "2" "81" NA
"338" "2" "1" "1" "0" "4" "82" 425.769
"339" "2" "1" "1" "57" "2" "83" 348.846
"340" "2" "1" "1" "11" "3" "84" 348.846
"341" "2" "1" "1" "5" "5" "85" 379.615
"342" "2" "1" "1" "1" "4" "86" 348.846
"343" "2" "1" "1" "51" "2" "87" 387.308
"344" "2" "1" "1" "15" "3" "88" 395.000
"345" "2" "1" "1" "10" "2" "89" NA
"346" "2" "1" "1" "62" "3" "90" 379.615
"347" "2" "1" "1" "62" "4" "91" 387.308
"348" "2" "1" "1" "12" "2" "92" 364.231
"349" "2" "1" "1" "55" "2" "93" 371.923
"350" "2" "1" "1" "3" "5" "94" 395.000
"351" "2" "1" "1" "7" "5" "95" 433.462
"352" "2" "1" "1" "50" "2" "96" 425.769
"353" "2" "1" "1" "11" "4" "97" 356.538
"354" "2" "1" "1" "20" "2" "98" 402.692
"355" "2" "1" "1" "13" "4" "99" 348.846
"356" "2" "1" "1" "0" "5" "100" 371.923
"357" "2" "1" "1" "60" "3" "101" 448.846
"358" "2" "1" "1" "9" "4" "102" 364.231
"359" "2" "1" "1" "60" "4" "103" 356.538
"360" "2" "1" "1" "58" "3" "104" 356.538
"361" "2" "1" "1" "4" "5" "105" 541.154
"362" "2" "1" "1" "0" "6" "106" NA
"363" "2" "1" "1" "3" "6" "107" 364.231
"364" "2" "1" "1" "4" "6" "108" 341.154
"365" "2" "1" "1" "15" "4" "109" 364.231
"366" "2" "1" "1" "23" "2" "110" 402.692
"367" "2" "1" "1" "18" "2" "111" 510.385
"368" "2" "1" "1" "2" "5" "112" 295.000
"369" "2" "1" "1" "49" "2" "113" 410.385
"370" "2" "1" "1" "1" "5" "114" 318.077
"371" "2" "1" "1" "61" "2" "115" 418.077
"372" "2" "1" "1" "22" "2" "116" 379.615
"373" "2" "1" "1" "56" "4" "117" 410.385
"374" "2" "1" "1" "2" "6" "118" 487.308
"375" "2" "1" "1" "1" "6" "119" 395.000
"376" "2" "1" "1" "5" "6" "120" 356.538
"377" "2" "1" "1" "63" "2" "121" 395.000
"378" "2" "1" "1" "14" "2" "122" 395.000
"379" "2" "1" "1" "16" "2" "123" 410.385
"380" "2" "1" "1" "54" "2" "124" 418.077
"381" "2" "1" "1" "58" "4" "125" 387.308
"382" "2" "1" "1" "17" "2" "126" 464.231
"383" "2" "1" "1" "6" "6" "127" 433.462
"384" "2" "1" "1" "7" "6" "128" 387.308
"385" "2" "1" "0" "49" "1" "1" 464.231
"386" "2" "1" "0" "4" "1" "2" 387.308
"387" "2" "1" "0" "12" "1" "3" 456.538
"388" "2" "1" "0" "16" "1" "4" 402.692
"389" "2" "1" "0" "60" "1" "5" 433.462
"390" "2" "1" "0" "11" "1" "6" 402.692
"391" "2" "1" "0" "13" "1" "7" 341.154
"392" "2" "1" "0" "3" "1" "8" 325.769
"393" "2" "1" "0" "15" "1" "9" 356.538
"394" "2" "1" "0" "54" "1" "10" 387.308
"395" "2" "1" "0" "23" "1" "11" 387.308
"396" "2" "1" "0" "1" "1" "12" 410.385
"397" "2" "1" "0" "13" "2" "13" 410.385
"398" "2" "1" "0" "52" "1" "14" 448.846
"399" "2" "1" "0" "58" "1" "15" 371.923
"400" "2" "1" "0" "58" "2" "16" 441.154
"401" "2" "1" "0" "6" "1" "17" 379.615
"402" "2" "1" "0" "51" "1" "18" 402.692
"403" "2" "1" "0" "5" "1" "19" 356.538
"404" "2" "1" "0" "7" "1" "20" 395.000
"405" "2" "1" "0" "50" "1" "21" 364.231
"406" "2" "1" "0" "4" "2" "22" 371.923
"407" "2" "1" "0" "48" "1" "23" 325.769
"408" "2" "1" "0" "2" "1" "24" 302.692
"409" "2" "1" "0" "20" "1" "25" 348.846
"410" "2" "1" "0" "18" "1" "26" 295.000
"411" "2" "1" "0" "0" "1" "27" 387.308
"412" "2" "1" "0" "5" "2" "28" 371.923
"413" "2" "1" "0" "4" "3" "29" 379.615
"414" "2" "1" "0" "14" "1" "30" 379.615
"415" "2" "1" "0" "5" "3" "31" NA
"416" "2" "1" "0" "17" "1" "32" 348.846
"417" "2" "1" "0" "1" "2" "33" 433.462
"418" "2" "1" "0" "9" "1" "34" 325.769
"419" "2" "1" "0" "1" "3" "35" 379.615
"420" "2" "1" "0" "2" "2" "36" 341.154
"421" "2" "1" "0" "22" "1" "37" 333.462
"422" "2" "1" "0" "7" "2" "38" 310.385
"423" "2" "1" "0" "8" "1" "39" 318.077
"424" "2" "1" "0" "9" "2" "40" 325.769
"425" "2" "1" "0" "62" "1" "41" NA
"426" "2" "1" "0" "15" "2" "42" 241.154
"427" "2" "1" "0" "11" "2" "43" 310.385
"428" "2" "1" "0" "3" "2" "44" 271.923
"429" "2" "1" "0" "7" "3" "45" 371.923
"430" "2" "1" "0" "61" "1" "46" 425.769
"431" "2" "1" "0" "55" "1" "47" 379.615
"432" "2" "1" "0" "56" "1" "48" 371.923
"433" "2" "1" "0" "0" "2" "49" 341.154
"434" "2" "1" "0" "57" "1" "50" 318.077
"435" "2" "1" "0" "6" "2" "51" 371.923
"436" "2" "1" "0" "6" "3" "52" 379.615
"437" "2" "1" "0" "63" "1" "53" 348.846
"438" "2" "1" "0" "10" "1" "54" NA
"439" "2" "1" "0" "59" "1" "55" 333.462
"440" "2" "1" "0" "60" "2" "56" 356.538
"441" "2" "1" "0" "0" "3" "57" 364.231
