"PDist" "Block" "Cond" "TB" "Subj"
364 0.01343 "3" "0" "57" "S1"
365 0.01468 "3" "0" "57" "S1"
366 0.01941 "3" "0" "57" "S1"
367 0.00797 "3" "0" "57" "S1"
368 0.00745 "3" "0" "57" "S1"
369 0.04206 "3" "0" "57" "S1"
370 0.01499 "3" "0" "58" "S1"
371 0.01204 "3" "0" "58" "S1"
372 0.00423 "3" "0" "58" "S1"
373 0.01936 "3" "0" "58" "S1"
374 0.04877 "3" "0" "59" "S1"
375 0.01114 "3" "0" "59" "S1"
376 0.02282 "3" "0" "63" "S1"
377 0.05189 "3" "0" "63" "S1"
378 0.03566 "3" "0" "64" "S1"
379 0.02961 "3" "0" "64" "S1"
380 0.05189 "1" "0" "1" "S2"
381 0.05248 "1" "0" "1" "S2"
382 0.04066 "1" "0" "1" "S2"
383 0.13223 "1" "0" "1" "S2"
384 0.12156 "1" "0" "1" "S2"
385 0.00623 "1" "0" "1" "S2"
386 0.07164 "1" "0" "2" "S2"
387 0.00939 "1" "0" "2" "S2"
388 0.03198 "1" "0" "3" "S2"
389 0.01716 "1" "0" "3" "S2"
390 0.61249 "1" "0" "7" "S2"
391 0.00978 "1" "0" "7" "S2"
392 0.04149 "1" "0" "8" "S2"
393 0.01846 "1" "0" "8" "S2"
394 0.02393 "1" "0" "8" "S2"
395 0.02050 "1" "0" "8" "S2"
396 0.02497 "1" "0" "9" "S2"
397 0.17318 "1" "0" "9" "S2"
398 0.02066 "1" "0" "9" "S2"
399 0.15377 "1" "0" "9" "S2"
400 0.02532 "1" "0" "9" "S2"
401 0.02490 "1" "0" "9" "S2"
402 0.02098 "1" "0" "10" "S2"
403 0.01598 "1" "0" "10" "S2"
404 0.03591 "1" "0" "10" "S2"
405 0.01304 "1" "0" "10" "S2"
406 0.01885 "1" "0" "11" "S2"
407 0.01527 "1" "0" "11" "S2"
408 0.01819 "1" "0" "15" "S2"
409 0.00949 "1" "0" "15" "S2"
410 0.03539 "1" "0" "16" "S2"
411 0.03051 "1" "0" "16" "S2"
412 0.03371 "1" "0" "17" "S2"
413 0.18345 "1" "0" "17" "S2"
414 0.04672 "1" "0" "17" "S2"
415 0.02366 "1" "0" "17" "S2"
416 0.03294 "1" "0" "17" "S2"
417 0.02283 "1" "0" "17" "S2"
418 0.00286 "1" "0" "18" "S2"
419 0.01521 "1" "0" "18" "S2"
420 0.03619 "1" "0" "19" "S2"
421 0.06646 "1" "0" "19" "S2"
422 0.01151 "1" "0" "23" "S2"
423 0.01456 "1" "0" "23" "S2"
424 0.00611 "1" "0" "24" "S2"
425 0.02604 "1" "0" "24" "S2"
426 0.02943 "1" "0" "24" "S2"
427 0.00599 "1" "0" "24" "S2"
428 0.06221 "1" "0" "25" "S2"
429 0.35959 "1" "0" "25" "S2"
430 0.01733 "1" "0" "25" "S2"
431 0.00720 "1" "0" "25" "S2"
432 0.03440 "1" "0" "25" "S2"
433 0.01177 "1" "0" "25" "S2"
434 0.09031 "1" "0" "26" "S2"
435 0.03866 "1" "0" "26" "S2"
436 0.02049 "1" "0" "26" "S2"
437 0.06519 "1" "0" "26" "S2"
438 0.05274 "1" "0" "27" "S2"
439 0.04132 "1" "0" "27" "S2"
440 0.02219 "1" "0" "31" "S2"
441 0.01844 "1" "0" "31" "S2"
442 0.04797 "1" "0" "32" "S2"
443 0.04317 "1" "0" "32" "S2"
444 0.02066 "1" "0" "33" "S2"
445 0.01272 "1" "0" "33" "S2"
446 0.05189 "1" "0" "33" "S2"
447 0.09642 "1" "0" "33" "S2"
448 0.00071 "1" "0" "33" "S2"
449 0.01143 "1" "0" "33" "S2"
450 0.02023 "1" "0" "34" "S2"
451 0.02328 "1" "0" "34" "S2"
452 0.11400 "1" "0" "35" "S2"
453 0.14621 "1" "0" "35" "S2"
454 0.02528 "1" "0" "39" "S2"
455 0.08444 "1" "0" "39" "S2"
456 0.01481 "1" "0" "40" "S2"
457 0.02285 "1" "0" "40" "S2"
458 0.03419 "1" "0" "40" "S2"
459 0.08021 "1" "0" "40" "S2"
460 0.03735 "1" "0" "41" "S2"
461 0.01858 "1" "0" "41" "S2"
462 0.03484 "1" "0" "41" "S2"
463 0.03609 "1" "0" "41" "S2"
