"PDist" "Group" "Cond" "TB" "Subj"
282 0.03064 "1" "1" "17" "S2"
283 0.06123 "1" "1" "17" "S2"
284 0.05720 "1" "1" "17" "S2"
285 0.10869 "1" "1" "17" "S2"
286 0.06449 "1" "1" "19" "S2"
287 0.05814 "1" "1" "19" "S2"
288 0.04291 "1" "1" "23" "S2"
289 0.01589 "1" "1" "23" "S2"
290 0.01466 "1" "1" "24" "S2"
291 0.04162 "1" "1" "24" "S2"
292 0.00937 "1" "1" "24" "S2"
293 0.04009 "1" "1" "24" "S2"
294 0.02669 "1" "1" "25" "S2"
295 0.03240 "1" "1" "25" "S2"
296 0.04307 "1" "1" "25" "S2"
297 0.01702 "1" "1" "25" "S2"
298 0.02617 "1" "1" "25" "S2"
299 0.03625 "1" "1" "25" "S2"
300 0.04515 "1" "1" "26" "S2"
301 0.03583 "1" "1" "26" "S2"
302 0.06638 "1" "1" "26" "S2"
303 0.41144 "1" "1" "31" "S2"
304 0.04204 "1" "1" "31" "S2"
305 0.01876 "1" "1" "32" "S2"
306 0.01538 "1" "1" "32" "S2"
307 0.07666 "1" "1" "33" "S2"
308 0.05526 "1" "1" "33" "S2"
309 0.01795 "1" "1" "33" "S2"
310 0.02495 "1" "1" "33" "S2"
311 0.00601 "1" "1" "33" "S2"
312 0.02384 "1" "1" "33" "S2"
313 0.07711 "1" "1" "34" "S2"
314 0.09448 "1" "1" "34" "S2"
315 0.00754 "1" "1" "35" "S2"
316 0.01728 "1" "1" "35" "S2"
317 0.08504 "1" "1" "39" "S2"
318 0.16282 "1" "1" "40" "S2"
319 0.03941 "1" "1" "40" "S2"
320 0.01693 "1" "1" "40" "S2"
321 0.03999 "1" "1" "40" "S2"
322 0.01666 "1" "1" "41" "S2"
323 0.00862 "1" "1" "41" "S2"
324 0.03664 "1" "1" "41" "S2"
325 0.01359 "1" "1" "41" "S2"
326 0.01673 "1" "1" "41" "S2"
327 0.17007 "1" "1" "41" "S2"
328 0.01866 "1" "1" "42" "S2"
329 0.06955 "1" "1" "42" "S2"
330 0.06377 "1" "1" "42" "S2"
331 0.04840 "1" "1" "42" "S2"
332 0.04077 "1" "1" "43" "S2"
333 0.09347 "1" "1" "43" "S2"
334 0.14736 "1" "1" "47" "S2"
335 0.11031 "1" "1" "48" "S2"
336 0.02448 "1" "1" "48" "S2"
337 0.05204 "1" "1" "49" "S2"
338 0.07130 "1" "1" "49" "S2"
339 0.05112 "1" "1" "49" "S2"
340 0.05837 "1" "1" "49" "S2"
341 0.03770 "1" "1" "49" "S2"
342 0.11320 "1" "1" "49" "S2"
343 0.00800 "1" "1" "50" "S2"
344 0.00162 "1" "1" "50" "S2"
345 0.01555 "1" "1" "51" "S2"
346 0.01288 "1" "1" "51" "S2"
347 0.06345 "1" "1" "55" "S2"
348 0.36367 "1" "1" "55" "S2"
349 0.10901 "1" "1" "56" "S2"
350 0.04976 "1" "1" "56" "S2"
351 0.06897 "1" "1" "56" "S2"
352 0.02420 "1" "1" "56" "S2"
353 0.02672 "1" "1" "57" "S2"
354 0.06171 "1" "1" "57" "S2"
355 0.02065 "1" "1" "57" "S2"
356 0.01818 "1" "1" "57" "S2"
357 0.03743 "1" "1" "57" "S2"
358 0.04462 "1" "1" "57" "S2"
359 0.03090 "1" "1" "58" "S2"
360 0.05838 "1" "1" "58" "S2"
361 0.01172 "1" "1" "58" "S2"
362 0.02557 "1" "1" "58" "S2"
363 0.03717 "1" "1" "59" "S2"
364 0.02928 "1" "1" "59" "S2"
365 0.06324 "1" "1" "63" "S2"
366 0.03162 "1" "1" "63" "S2"
367 0.02256 "1" "1" "64" "S2"
368 0.11093 "1" "1" "64" "S2"
369 0.01282 "1" "0" "1" "S2"
