Lat Vpeak Err Block Subj Trial
496 372.000 0.600 1.195 2 5 116
497 334.000 0.555 1.081 2 5 117
498 404.000 0.574 1.962 2 5 118
499 303.000 0.649 0.575 2 5 119
500 380.000 0.608 2.447 2 5 120
501 303.000 0.662 1.485 1 6 11
502 295.000 0.653 0.957 1 6 12
503 311.000 0.586 0.705 1 6 13
504 317.000 0.703 1.130 1 6 14
505 295.000 0.553 0.280 1 6 15
506 295.000 0.705 0.294 1 6 16
507 325.000 0.637 0.659 1 6 17
508 325.000 0.673 0.849 1 6 18
509 326.000 0.642 0.464 1 6 19
510 279.000 0.619 1.292 1 6 20
511 295.000 0.679 1.048 1 6 21
512 272.000 0.623 0.842 1 6 22
513 295.000 0.566 1.082 1 6 23
514 303.000 0.613 0.759 1 6 24
515 326.000 0.647 0.541 1 6 25
516 288.000 0.658 0.515 1 6 26
517 279.000 0.608 0.498 1 6 27
518 334.000 0.623 1.044 1 6 28
519 341.000 0.658 0.995 1 6 29
520 303.000 0.668 0.781 1 6 30
521 334.000 0.652 1.889 1 6 31
522 288.000 0.663 0.839 1 6 32
523 302.000 0.650 0.363 1 6 33
524 318.000 0.654 1.070 1 6 34
525 295.000 0.586 0.825 1 6 35
526 349.000 0.648 0.955 1 6 36
527 303.000 0.637 1.697 1 6 37
528 265.000 0.661 0.193 1 6 38
529 426.000 0.596 0.964 1 6 39
530 388.000 0.674 0.441 1 6 40
531 348.000 0.688 0.411 1 6 41
532 318.000 0.624 1.395 1 6 42
533 310.000 0.583 0.693 1 6 43
534 334.000 0.809 0.622 1 6 44
535 371.000 0.686 0.536 1 6 45
536 410.000 0.680 0.806 1 6 46
537 319.000 0.670 1.029 1 6 47
538 342.000 0.624 0.841 1 6 48
539 304.000 0.637 0.918 1 6 49
540 371.000 0.577 1.037 1 6 50
541 357.000 0.683 0.485 1 6 51
542 311.000 0.615 0.366 1 6 52
543 288.000 0.625 0.702 1 6 53
544 326.000 0.677 1.450 1 6 54
545 355.000 0.621 1.484 1 6 55
546 273.000 0.568 1.216 1 6 56
547 341.000 0.649 0.627 1 6 57
548 364.000 0.658 0.601 1 6 58
549 310.000 0.644 1.056 1 6 59
550 280.000 0.697 0.711 1 6 60
551 295.000 0.760 0.965 2 6 71
552 309.000 0.638 1.183 2 6 72
553 319.000 0.597 0.396 2 6 73
554 341.000 0.604 1.711 2 6 74
555 357.000 0.638 1.141 2 6 75
556 387.000 0.622 2.196 2 6 76
557 472.000 0.650 1.406 2 6 77
558 334.000 0.725 0.446 2 6 78
559 495.000 0.625 1.390 2 6 79
560 809.000 0.644 0.547 2 6 80
561 326.000 0.697 2.741 2 6 81
