Lat Vpeak Err Block Subj Trial
483 272.000 0.471 1.110 2 5 103
484 318.000 0.489 0.395 2 5 104
485 234.000 0.667 0.123 2 5 105
486 279.000 0.614 0.853 2 5 106
487 287.000 0.599 0.987 2 5 107
488 325.000 0.676 2.486 2 5 108
489 241.000 0.635 1.623 2 5 109
490 278.000 0.459 0.083 2 5 110
491 272.000 0.587 0.086 2 5 111
492 249.000 0.620 2.500 2 5 112
493 286.000 0.530 1.296 2 5 113
494 287.000 0.546 0.435 2 5 114
495 256.000 0.488 1.198 2 5 115
496 295.000 0.612 0.780 2 5 116
497 272.000 0.552 0.523 2 5 117
498 248.000 0.524 1.045 2 5 118
499 287.000 0.651 1.590 2 5 119
500 333.000 0.603 3.161 2 5 120
501 271.000 0.582 1.053 1 6 11
502 265.000 0.573 1.544 1 6 12
503 257.000 0.520 0.344 1 6 13
504 248.000 0.527 0.846 1 6 14
505 311.000 0.546 0.811 1 6 15
506 279.000 0.486 0.441 1 6 16
507 295.000 0.507 0.487 1 6 17
508 272.000 0.526 0.568 1 6 18
509 248.000 0.565 0.942 1 6 19
510 256.000 0.537 1.292 1 6 20
511 249.000 0.458 0.949 1 6 21
512 265.000 0.592 2.440 1 6 22
513 272.000 0.482 1.448 1 6 23
514 295.000 0.587 0.919 1 6 24
515 255.000 0.590 0.827 1 6 25
516 257.000 0.516 0.606 1 6 26
517 272.000 0.568 1.037 1 6 27
518 271.000 0.426 1.404 1 6 28
519 256.000 0.612 0.314 1 6 29
520 242.000 0.538 1.490 1 6 30
521 257.000 0.543 0.330 1 6 31
522 356.000 0.602 1.242 1 6 32
523 287.000 0.575 1.450 1 6 33
524 272.000 0.530 1.043 1 6 34
525 272.000 0.472 1.198 1 6 35
526 218.000 0.462 1.508 1 6 36
527 295.000 0.560 2.456 1 6 37
528 265.000 0.571 1.033 1 6 38
529 272.000 0.584 1.307 1 6 39
530 257.000 0.561 2.784 1 6 40
531 272.000 0.629 0.597 1 6 41
532 265.000 0.389 1.339 1 6 42
533 234.000 0.472 1.446 1 6 43
534 302.000 0.546 1.550 1 6 44
535 326.000 0.561 1.093 1 6 45
536 287.000 0.599 2.910 1 6 46
537 273.000 0.542 0.209 1 6 47
538 279.000 0.573 0.635 1 6 48
539 279.000 0.529 0.131 1 6 49
540 256.000 0.510 0.640 1 6 50
541 256.000 0.485 0.605 1 6 51
542 326.000 0.517 1.262 1 6 52
543 264.000 0.653 2.644 1 6 53
544 280.000 0.507 1.346 1 6 54
545 287.000 0.604 1.095 1 6 55
546 279.000 0.524 0.732 1 6 56
547 256.000 0.617 1.951 1 6 57
548 256.000 0.548 0.545 1 6 58
549 295.000 0.577 0.956 1 6 59
550 257.000 0.454 1.202 1 6 60
551 295.000 0.548 1.209 2 6 71
552 226.000 0.496 0.725 2 6 72
553 265.000 0.589 0.696 2 6 73
554 326.000 0.494 1.433 2 6 74
555 265.000 0.576 1.156 2 6 75
556 264.000 0.488 0.339 2 6 76
557 280.000 0.552 0.295 2 6 77
558 288.000 0.568 1.093 2 6 78
559 272.000 0.545 0.269 2 6 79
560 348.000 0.585 1.071 2 6 80
561 273.000 0.599 0.525 2 6 81
562 272.000 0.568 0.364 2 6 82
563 295.000 0.632 1.166 2 6 83
564 294.000 0.579 0.745 2 6 84
565 310.000 0.640 0.303 2 6 85
566 273.000 0.623 0.993 2 6 86
567 279.000 0.605 0.570 2 6 87
568 241.000 0.472 0.807 2 6 88
569 418.000 0.872 3.013 2 6 89
570 287.000 0.614 0.602 2 6 90
571 310.000 0.580 1.100 2 6 91
572 272.000 0.586 1.547 2 6 92
573 264.000 0.675 0.662 2 6 93
574 265.000 0.634 1.620 2 6 94
575 294.000 0.607 1.331 2 6 95
576 271.000 0.577 0.670 2 6 96
577 265.000 0.634 0.387 2 6 97
578 242.000 0.526 1.404 2 6 98
579 302.000 0.610 0.540 2 6 99
580 287.000 0.551 0.538 2 6 100
581 264.000 0.609 0.292 2 6 101
582 265.000 0.527 0.277 2 6 102
583 272.000 0.641 0.823 2 6 103
584 257.000 0.603 1.684 2 6 104
585 272.000 0.631 1.188 2 6 105
586 272.000 0.618 0.334 2 6 106
587 303.000 0.696 0.778 2 6 107
588 243.000 0.577 0.656 2 6 108
589 219.000 0.565 1.201 2 6 109
590 288.000 0.657 2.001 2 6 110
591 280.000 0.589 1.826 2 6 111
592 295.000 0.584 0.917 2 6 112
593 249.000 0.571 0.601 2 6 113
594 264.000 0.709 1.041 2 6 114
595 264.000 0.567 1.241 2 6 115
596 349.000 0.601 2.292 2 6 116
597 311.000 0.649 1.590 2 6 117
598 326.000 0.546 1.320 2 6 118
599 271.000 0.579 1.033 2 6 119
600 272.000 0.583 0.780 2 6 120
601 264.000 0.453 0.633 1 7 11
602 257.000 0.562 1.377 1 7 12
603 288.000 0.612 0.242 1 7 13
604 280.000 0.568 1.031 1 7 14
605 295.000 0.498 1.772 1 7 15
606 725.000 0.653 1.119 1 7 16
607 234.000 0.553 1.786 1 7 17
608 265.000 0.614 0.029 1 7 18
609 272.000 0.483 0.791 1 7 19
610 503.000 0.616 1.028 1 7 20
611 241.000 0.611 1.066 1 7 21
612 295.000 0.459 0.586 1 7 22
613 263.000 0.609 2.145 1 7 23
614 303.000 0.583 0.450 1 7 24
615 279.000 0.556 2.093 1 7 25
616 271.000 0.540 0.999 1 7 26
617 249.000 0.469 2.195 1 7 27
618 272.000 0.591 1.528 1 7 28
619 279.000 0.561 0.392 1 7 29
620 242.000 0.536 1.130 1 7 30
621 288.000 0.422 0.575 1 7 31
622 265.000 0.521 1.721 1 7 32
623 241.000 0.530 1.283 1 7 33
624 272.000 0.413 1.452 1 7 34
625 279.000 0.512 1.555 1 7 35
626 465.000 0.602 1.196 1 7 36
627 272.000 0.545 2.039 1 7 37
628 434.000 0.550 0.469 1 7 38
629 248.000 0.558 0.663 1 7 39
630 272.000 0.517 0.671 1 7 40
631 258.000 0.558 1.242 1 7 41
632 304.000 0.455 0.305 1 7 42
633 302.000 0.421 0.463 1 7 43
634 272.000 0.541 0.496 1 7 44
635 256.000 0.421 1.246 1 7 45
636 311.000 0.508 0.920 1 7 46
637 257.000 0.484 0.372 1 7 47
638 279.000 0.466 2.824 1 7 48
639 272.000 0.582 1.196 1 7 49
640 272.000 0.416 1.227 1 7 50
641 379.000 0.496 0.704 1 7 51
642 318.000 0.527 0.477 1 7 52
643 279.000 0.401 1.343 1 7 53
644 272.000 0.483 0.933 1 7 54
645 287.000 0.415 1.580 1 7 55
646 265.000 0.489 1.384 1 7 56
647 257.000 0.503 2.761 1 7 57
648 256.000 0.467 1.523 1 7 58
649 272.000 0.444 1.290 1 7 59
650 272.000 0.491 1.023 1 7 60
651 295.000 0.421 0.925 2 7 71
652 287.000 0.508 1.388 2 7 72
653 564.000 0.606 1.322 2 7 73
654 272.000 0.544 0.649 2 7 74
655 280.000 0.533 1.457 2 7 75
656 325.000 0.520 0.597 2 7 76
657 271.000 0.535 2.539 2 7 77
658 279.000 0.507 0.290 2 7 78
659 264.000 0.462 1.340 2 7 79
660 409.000 0.403 0.337 2 7 80
661 249.000 0.482 0.992 2 7 81
662 272.000 0.515 1.816 2 7 82
663 271.000 0.541 3.383 2 7 83
664 418.000 0.671 2.586 2 7 84
665 341.000 0.452 0.804 2 7 85
666 257.000 0.494 1.593 2 7 86
667 264.000 0.505 0.802 2 7 87
668 310.000 0.408 0.321 2 7 88
669 257.000 0.591 0.508 2 7 89
670 271.000 0.566 1.694 2 7 90
671 371.000 0.348 2.783 2 7 91
672 264.000 0.460 0.790 2 7 92
673 257.000 0.611 2.927 2 7 93
674 280.000 0.505 0.156 2 7 94
675 287.000 0.485 0.252 2 7 95
676 248.000 0.500 0.558 2 7 96
677 402.000 0.617 0.828 2 7 97
678 296.000 0.534 0.267 2 7 98
679 303.000 0.561 0.334 2 7 99
680 280.000 0.519 1.025 2 7 100
681 463.000 0.565 2.634 2 7 101
682 318.000 0.483 0.410 2 7 102
683 287.000 0.574 0.868 2 7 103
684 257.000 0.488 0.940 2 7 104
685 280.000 0.548 0.337 2 7 105
686 272.000 0.491 1.403 2 7 106
687 287.000 0.502 0.988 2 7 107
688 395.000 0.517 0.391 2 7 108
689 256.000 0.534 0.530 2 7 109
690 265.000 0.525 0.130 2 7 110
691 303.000 0.539 0.853 2 7 111
692 272.000 0.484 1.748 2 7 112
693 295.000 0.474 1.021 2 7 113
694 295.000 0.541 1.843 2 7 114
695 309.000 0.468 0.267 2 7 115
696 272.000 0.483 0.523 2 7 116
